rms,mav,wl,zcr,mdf,label
185.6304931847136,185.28,25070.0,96,50.0,0
185.78573680452436,185.45,23893.0,94,50.0,0
184.5453873712372,184.16,21985.0,94,50.0,0
182.42790356740934,181.91,22047.0,92,50.0,0
180.03166388166278,179.34,25148.0,93,46.0,0
184.41897950048417,183.26,27288.0,91,44.0,0
190.24132043275984,188.16,27704.0,93,43.0,0
199.60400797579192,195.74,28998.0,95,43.0,0
212.451735695428,206.51,32890.0,96,43.0,0
227.15100704157135,219.81,33693.0,95,44.0,0
241.4745121125623,233.67,34011.0,95,45.0,0
249.75451947862726,242.94,34099.0,98,47.0,0
255.77857611613996,250.28,35152.0,101,48.0,0
260.53464261015273,256.61,35390.0,102,49.0,0
263.57351915547207,261.0,32976.0,101,50.0,0
262.23886058324763,259.37,32935.0,102,51.0,0
259.7413713677511,256.59,32081.0,102,51.0,0
255.1456838749188,251.96,31768.0,99,49.0,0
248.70778033668347,245.96,30502.0,96,48.0,0
240.98999979252253,239.09,29744.0,95,48.0,0
231.98573231989937,231.27,29507.0,97,47.0,0
226.72895712722712,226.29,30300.0,94,47.0,0
222.8021543881477,222.36,30611.0,94,47.0,0
220.4132936099817,219.89,30181.0,94,49.0,0
218.26369372848063,217.48,28333.0,94,49.0,0
214.96399698554174,213.68,26108.0,94,50.0,0
211.01075801958535,209.45,25505.0,94,50.0,0
207.21418870338007,205.74,24565.0,96,49.0,0
201.55693984579145,200.28,23100.0,97,48.0,0
195.05517168227044,194.14,24338.0,100,48.0,0
191.83623223989778,191.29,26329.0,100,48.0,0
190.21140870095041,189.79,24113.0,102,49.0,0
188.62783463741505,188.27,23273.0,98,50.0,0
187.12188541162146,186.8,23108.0,97,52.0,0
187.08041051911343,186.76,23014.0,95,52.0,0
188.31293104829524,188.08,24393.0,97,52.0,0
188.29291011612733,188.03,24472.0,97,47.0,0
185.6391122581661,185.3,24490.0,96,45.0,0
185.2564168929109,184.91,23884.0,96,45.0,0
184.43860767203813,184.04,21960.0,93,51.0,0
180.2679117314005,179.92,20637.0,93,51.0,0
176.93281210674294,176.67,23180.0,96,51.0,0
174.56282536668567,174.33,24364.0,100,50.0,0
173.46769151631668,173.28,24875.0,100,51.0,0
173.23590851783587,173.06,25421.0,103,55.0,0
172.8292220661772,172.67,23595.0,102,55.0,0
172.6366704961608,172.51,22533.0,100,55.0,0
172.15237436643156,172.0,21627.0,100,54.0,0
169.07453977462131,168.8,20967.0,101,51.0,0
165.26657254266516,164.54,21363.0,102,50.0,0
161.3677786920301,160.02,20812.0,98,49.0,0
156.77034158283894,154.83,19158.0,95,48.0,0
152.39087899214965,150.07,18158.0,94,46.0,0
147.12165034419644,144.75,16666.0,93,46.0,0
140.66335699107995,138.55,15391.0,91,49.0,0
134.29780340720396,132.67,15954.0,92,50.0,0
128.92835219609378,128.02,17597.0,91,50.0,0
125.8078693882064,125.37,18353.0,92,50.0,0
124.8547155697373,124.55,19036.0,92,49.0,0
126.35798352300499,125.95,20091.0,93,49.0,0
130.4450075702401,129.77,20144.0,93,49.0,0
134.94917561808222,134.14,20551.0,94,49.0,0
139.7370387549414,138.78,20706.0,91,49.0,0
144.04381277930685,143.05,23284.0,92,49.0,0
149.01127474120875,148.1,23887.0,94,50.0,0
135.350877352162,135.25,19208.0,99,45.0,1
136.43943711405439,136.26,19197.0,98,44.0,1
139.12232027967332,138.73,20437.0,96,44.0,1
142.32947691887298,141.78,20474.0,94,44.0,1
146.95461884541092,146.13,21674.0,91,45.0,1
152.24007356803267,151.32,21285.0,91,48.0,1
156.62260373266687,155.66,21456.0,88,48.0,1
161.3890330846554,160.41,22969.0,91,47.0,1
166.14409408703037,165.37,23824.0,90,44.0,1
172.7505137474271,171.93,25160.0,89,43.0,1
178.74948950976056,177.99,25593.0,88,46.0,1
183.44334275192435,182.85,25027.0,87,53.0,1
187.2732762569182,186.76,24352.0,89,54.0,1
190.97664778710512,190.6,25822.0,92,53.0,1
193.5255021954471,193.2,25507.0,94,53.0,1
194.046077002345,193.72,25821.0,95,53.0,1
193.98123620597949,193.64,26266.0,98,52.0,1
192.9032918329804,192.46,24621.0,96,51.0,1
191.571448812186,190.99,23774.0,94,50.0,1
188.62391152767458,188.03,23564.0,97,48.0,1
185.54266355746864,184.98,23597.0,98,48.0,1
183.09554882628908,182.55,24878.0,98,47.0,1
182.15054213479576,181.67,25166.0,97,47.0,1
181.5529123974606,181.11,25512.0,94,48.0,1
183.22472540571593,182.57,24567.0,93,48.0,1
186.17040581145005,185.35,25909.0,95,45.0,1
190.11927834914584,189.15,26544.0,96,41.0,1
196.0855935554675,194.9,29407.0,99,41.0,1
201.6672506878596,200.58,29767.0,100,49.0,1
207.1772670927001,206.17,29731.0,97,50.0,1
212.19693682991752,211.43,30676.0,97,50.0,1
217.61075341076324,217.16,29939.0,99,47.0,1
220.95682836246542,220.66,29376.0,98,43.0,1
223.82265300902856,223.69,28519.0,99,45.0,1
223.9333829512697,223.8,30705.0,100,49.0,1
224.5795182112563,224.48,29517.0,98,50.0,1
224.4658548643869,224.36,29549.0,96,50.0,1
221.99067547984984,221.81,27335.0,96,50.0,1
219.64189035791875,219.36,27642.0,98,49.0,1
216.3274832285533,215.95,26110.0,97,49.0,1
212.93031724017132,212.46,26249.0,96,49.0,1
207.89862914410955,207.34,26133.0,96,48.0,1
203.23370783410905,202.63,25965.0,95,48.0,1
198.47836154100025,197.89,27936.0,99,49.0,1
196.42515113905347,195.94,27004.0,100,49.0,1
193.19342638920196,192.83,25674.0,98,49.0,1
189.9986315740195,189.74,24250.0,99,49.0,1
187.7339074328343,187.51,25474.0,97,50.0,1
186.5052278087668,186.32,25518.0,98,52.0,1
185.74514798508199,185.59,26112.0,98,51.0,1
185.08106332091353,184.92,27759.0,99,48.0,1
189.28655525419654,188.8,29675.0,97,47.0,1
196.95517256472345,195.69,30661.0,93,48.0,1
207.27850829258685,204.97,29811.0,92,51.0,1
215.23289711380087,212.16,29516.0,93,50.0,1
222.89504256488075,219.64,30019.0,92,48.0,1
230.81759031754925,227.7,31834.0,92,46.0,1
236.22904139838522,233.66,30899.0,95,45.0,1
238.68900267921856,236.54,31969.0,93,46.0,1
241.39204626499193,239.72,33253.0,91,46.0,1
245.12719147414063,244.13,32197.0,91,46.0,1
246.04215086037595,245.17,29708.0,94,46.0,1
